"active","firstLevel","lastLevel","updates","address","hdao_value","percent_of_supply","date","timestamp"
TRUE,1424361,1424361,1,"tz1hALa71YRYkSx1b1D7iofjKBdcMJ7C3zUX",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1425189,1426091,2,"tz1f4Wxk7tWzZcWmXkpERi1p1f1Lz78StfxP",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1426188,1426188,1,"tz1TWUUVALdVknN481hsLWA9auY2DRMoZaGv",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1426840,1426840,1,"tz1MxhUArBBRCvc2mNq9AfsiXD7RgU4cYM1f",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1427425,1427425,1,"tz1XqYhbcWUDAT2dPCNoV3TEoMmytjMSidQu",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1429007,1429014,2,"tz1iLMBjXMJTJkX1wfD5hHcaDkb52RjTMit7",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1432094,1432094,1,"tz1Kw194GVYC2TQZxNVtBfkbreeA5PZp3cxA",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1447298,1532623,2,"tz1QTiiAPHjBm6kDAiP2BbX8oRvKimhibWHp",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1472676,1472676,1,"tz1YwT4uX6eL3TjKqwNDVJp39kH3TYkQnCbU",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1478465,1478465,1,"tz1NCbcM6QSnCxqsrNKjnPhYALBGstugQCcB",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1550301,1815949,2,"tz1djJnb5WZx2ypYtqp2UZCVue6TrAd7M2MV",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1588233,1588233,1,"tz1Zc3gDJPfWqBqwC7dZSgmENuv94f5KK4F7",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1629717,1629717,1,"tz1MwmkTZxyiysn7VmJo4DbJPFbw4UaA4Z4r",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1657022,1657022,1,"tz1YnTRCzYvqTn59VwnHW8UQW2swJDrabTGV",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1670130,1670130,1,"tz1dWRh45HBSzsJqFqPuubL2CjcBk3E5HBV7",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1683941,1683941,1,"tz1NCJnNXhKmEgpRyiEKBUngHfo3Y9woLSo6",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1691239,1698716,2,"tz1YtK9qUJffq2SqjhaJEGbufVHEBWDLPrSV",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1699033,1699033,1,"tz1Yzf2zNRYikTZH3GuDY1iDe2qSFYJCnUUh",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1712720,1712720,1,"tz1hiCXyVMBNz26FFprgX7LfY56woCdJfvt2",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1757886,1757886,1,"tz1ds4SqYLVz4GdzsV9v2qxLKtFu1McKX3ju",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1762800,1762800,1,"tz1YMpb1n43WijzwUcXT1p3CTJ6ENwBM4Eii",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1762867,1768294,2,"tz1i2cLDANZX4EqJUgUyhyB7BHMymDNvdjf8",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1805529,1805529,1,"tz1M7DyVPXhbiTEkEez5GggmAEEbaLmag3Bk",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1857265,1857265,1,"tz1ReePsBegAeR7v8Dz7bvqDB8VuoVdzpLYz",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1862122,1862122,1,"tz2Mx4r8j141zUwfZReozja1cTEYSujcMrwG",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
